idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"234","http://localhost:8080/home/","2024-12-7","19:51:52","653","5662","185.10000000149012","78.5","15.399999998509884","0","78.5","0","-1",""
"235","http://localhost:8080/home/","2024-12-7","19:51:58","664","5674","250","102.89999999850988","15.200000002980232","0","102.89999999850988","0","-1",""
"236","http://localhost:8080/home/","2024-12-7","19:52:05","660","5668","187.7999999895692","79.19999999552965","16.799999997019768","0","79.19999999552965","0","-1",""
"237","http://localhost:8080/home/","2024-12-7","19:52:11","648","5658","182.7000000104308","77.30000000447035","15.400000005960464","0","77.30000000447035","0","-1",""
"238","http://localhost:8080/home/","2024-12-7","19:52:17","650","5664","251.09999999403954","101.29999999701977","17.799999997019768","0","101.29999999701977","0","-1",""
"239","http://localhost:8080/home/","2024-12-7","19:52:23","647","5658","195.30000000447035","83","15.800000004470348","0","83","0","-1",""
"240","http://localhost:8080/home/","2024-12-7","19:52:30","651","5662","187.30000001192093","78.70000000298023","17.200000002980232","0","78.70000000298023","0","-1",""
"241","http://localhost:8080/home/","2024-12-7","19:52:36","649","5660","196.20000000298023","83","16.200000002980232","0","83","0","-1",""
"242","http://localhost:8080/home/","2024-12-7","19:52:42","652","5662","197.09999999403954","83.79999999701977","17.100000001490116","0","83.79999999701977","0","-1",""
"243","http://localhost:8080/home/","2024-12-7","19:52:49","647","5656","188.1000000089407","78.70000000298023","17.399999998509884","0","78.70000000298023","0","-1",""
"244","http://localhost:8080/home/","2024-12-7","19:52:55","669","5680","185.99999999254942","78.79999999701977","16.599999994039536","0","78.79999999701977","0","-1",""
"245","http://localhost:8080/home/","2024-12-7","19:53:01","649","5660","203.7999999895692","85.79999999701977","18","0","85.79999999701977","0","-1",""
"246","http://localhost:8080/home/","2024-12-7","19:53:08","653","5666","194.10000000149012","81.60000000149012","18.299999997019768","0","81.60000000149012","0","-1",""
"247","http://localhost:8080/home/","2024-12-7","19:53:14","648","5658","185.89999999850988","79.10000000149012","15.699999995529652","0","79.10000000149012","0","-1",""
"248","http://localhost:8080/home/","2024-12-7","19:53:20","649","5658","188.59999998658895","79.19999999552965","17.899999998509884","0","79.19999999552965","0","-1",""
"249","http://localhost:8080/home/","2024-12-7","19:53:26","647","5655","178.90000001341105","76.30000000447035","14.200000002980232","0","76.30000000447035","0","-1",""
"250","http://localhost:8080/home/","2024-12-7","19:53:33","658","5668","204.80000000447035","85.5","12.100000001490116","0","85.5","0","-1",""
"251","http://localhost:8080/home/","2024-12-7","19:53:39","653","5663","181.6000000089407","76.80000000447035","15.399999998509884","0","76.80000000447035","0","-1",""
"252","http://localhost:8080/home/","2024-12-7","19:53:45","654","5663","194.29999999701977","81.89999999850988","17.600000001490116","0","81.89999999850988","0","-1",""
"253","http://localhost:8080/home/","2024-12-7","19:53:52","645","5651","246.90000000596046","99.60000000149012","16.600000001490116","0","99.60000000149012","0","-1",""
"254","http://localhost:8080/home/","2024-12-7","19:53:58","650","5662","271.80000000447035","110.60000000149012","19.80000000447035","0","110.60000000149012","0","-1",""
"255","http://localhost:8080/home/","2024-12-7","19:54:04","649","5659","195.39999999850988","81.89999999850988","17.299999997019768","0","81.89999999850988","0","-1",""
"256","http://localhost:8080/home/","2024-12-7","19:54:10","659","5669","208","87.60000000149012","19.69999999552965","0","87.60000000149012","0","-1",""
"257","http://localhost:8080/home/","2024-12-7","19:54:17","650","5658","188.20000000298023","78.60000000149012","18.299999997019768","0","78.60000000149012","0","-1",""
"258","http://localhost:8080/home/","2024-12-7","19:54:23","644","5656","251.49999999254942","102.89999999850988","14.599999994039536","0","102.89999999850988","0","-1",""
"259","http://localhost:8080/home/","2024-12-7","19:54:29","647","5659","190.69999999552965","80.89999999850988","17","0","80.89999999850988","0","-1",""
"260","http://localhost:8080/home/","2024-12-7","19:54:36","646","5656","184.7999999895692","78.29999999701977","16","0","78.29999999701977","0","-1",""
"261","http://localhost:8080/home/","2024-12-7","19:54:42","656","5664","189.90000001341105","79.80000000447035","18.400000005960464","0","79.80000000447035","0","-1",""
"262","http://localhost:8080/home/","2024-12-7","19:54:48","648","5658","185.89999999850988","79","15","0","79","0","-1",""
"263","http://localhost:8080/home/","2024-12-7","19:54:54","652","5664","202.80000000447035","86.10000000149012","16.600000001490116","0","86.10000000149012","0","-1",""
"264","http://localhost:8080/home/","2024-12-7","19:55:01","669","5677","200.6000000089407","84.80000000447035","17.5","0","84.80000000447035","0","-1",""
"265","http://localhost:8080/home/","2024-12-7","19:55:07","662","5671","221","94","18.69999999552965","0","94","0","-1",""
"266","http://localhost:8080/home/","2024-12-7","19:55:13","645","5654","180.7999999895692","76.19999999552965","15.899999998509884","0","76.19999999552965","0","-1",""
"267","http://localhost:8080/home/","2024-12-7","19:55:20","648","5659","182.2000000178814","77.90000000596046","14","0","77.90000000596046","0","-1",""
"268","http://localhost:8080/home/","2024-12-7","19:55:26","653","5661","199.00000001490116","83.80000000447035","16.700000002980232","0","83.80000000447035","0","-1",""
"269","http://localhost:8080/home/","2024-12-7","19:55:32","647","5656","253.89999999850988","104.5","15.700000002980232","0","104.5","0","-1",""
