name,cpu_percent,mem_usage,mem_limit,mem_percent
1735060991,monolith,109.32,3.62GiB,4GiB,90.51
1735060991,recommendations,11.61,92.68MiB,7.654GiB,1.18
1735060991,teasers,13.45,101.9MiB,7.654GiB,1.30
1735060991,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060991,discovery,0.88,28.73MiB,7.654GiB,0.37
1735060993,monolith,123.34,3.687GiB,4GiB,92.18
1735060993,recommendations,13.83,92.97MiB,7.654GiB,1.19
1735060993,teasers,19.55,101.8MiB,7.654GiB,1.30
1735060993,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060993,discovery,0.98,28.83MiB,7.654GiB,0.37
1735060995,monolith,108.46,3.687GiB,4GiB,92.19
1735060995,recommendations,15.50,93.35MiB,7.654GiB,1.19
1735060995,teasers,11.31,101.8MiB,7.654GiB,1.30
1735060995,cdn,0.09,17.88MiB,7.654GiB,0.23
1735060995,discovery,1.15,28.93MiB,7.654GiB,0.37
1735060997,monolith,122.73,3.688GiB,4GiB,92.20
1735060997,recommendations,9.55,93.08MiB,7.654GiB,1.19
1735060997,teasers,9.87,101.8MiB,7.654GiB,1.30
1735060997,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060997,discovery,0.95,28.19MiB,7.654GiB,0.36
1735060999,monolith,108.00,3.688GiB,4GiB,92.20
1735060999,recommendations,16.13,93.12MiB,7.654GiB,1.19
1735060999,teasers,11.32,101.9MiB,7.654GiB,1.30
1735060999,cdn,0.00,17.88MiB,7.654GiB,0.23
1735060999,discovery,0.91,28.23MiB,7.654GiB,0.36
1735061001,monolith,107.42,3.689GiB,4GiB,92.21
1735061001,recommendations,14.83,92.5MiB,7.654GiB,1.18
1735061001,teasers,10.38,101.9MiB,7.654GiB,1.30
1735061001,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061001,discovery,0.85,28.34MiB,7.654GiB,0.36
1735061003,monolith,135.55,3.689GiB,4GiB,92.22
1735061003,recommendations,17.49,92.55MiB,7.654GiB,1.18
1735061003,teasers,21.29,102.1MiB,7.654GiB,1.30
1735061003,cdn,0.00,17.88MiB,7.654GiB,0.23
