timestamp,name,cpu_percent,mem_usage,mem_limit,mem_percent
1735068627,teasers,5.99,93.99MiB,7.654GiB,1.20
1735068627,recommendations,5.84,96.9MiB,7.654GiB,1.24
1735068627,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068627,discovery,0.53,27.1MiB,7.654GiB,0.35
1735068632,monolith,108.01,3.118GiB,4GiB,77.96
1735068632,teasers,6.66,94.03MiB,7.654GiB,1.20
1735068632,recommendations,10.08,95.2MiB,7.654GiB,1.21
1735068632,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068632,discovery,0.55,27.47MiB,7.654GiB,0.35
1735068637,monolith,105.32,3.126GiB,4GiB,78.15
1735068637,teasers,4.72,94.08MiB,7.654GiB,1.20
1735068637,recommendations,6.33,95.33MiB,7.654GiB,1.22
1735068637,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068637,discovery,0.59,26.74MiB,7.654GiB,0.34
1735068642,monolith,105.27,3.135GiB,4GiB,78.37
1735068642,teasers,5.87,94.36MiB,7.654GiB,1.20
1735068642,recommendations,10.81,95.55MiB,7.654GiB,1.22
1735068642,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068642,discovery,0.63,26.98MiB,7.654GiB,0.34
1735068647,monolith,106.00,3.151GiB,4GiB,78.77
1735068647,teasers,5.55,94.12MiB,7.654GiB,1.20
1735068647,recommendations,6.41,95.64MiB,7.654GiB,1.22
1735068647,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068647,discovery,0.58,27.04MiB,7.654GiB,0.35
1735068652,monolith,104.44,3.159GiB,4GiB,78.97
1735068652,teasers,6.04,95.56MiB,7.654GiB,1.22
1735068652,recommendations,6.63,95.71MiB,7.654GiB,1.22
1735068652,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068652,discovery,0.53,27.23MiB,7.654GiB,0.35
1735068657,monolith,106.24,3.167GiB,4GiB,79.18
1735068657,teasers,4.44,94.11MiB,7.654GiB,1.20
1735068657,recommendations,5.44,96.12MiB,7.654GiB,1.23
1735068657,cdn,0.00,17.87MiB,7.654GiB,0.23
1735068657,discovery,0.59,27.14MiB,7.654GiB,0.35
