idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"239","http://localhost:8080/","2024-12-11","15:37:25","1329","8806","4567.199999999255","1083.9000000022352","344.69999999925494","39","3781.400000002235","1","89",""
"240","http://localhost:8080/","2024-12-11","15:37:35","1339","8867","4630.89999999851","1097.6000000014901","341.6000000014901","38","3820.699999999255","1","88",""
"241","http://localhost:8080/","2024-12-11","15:37:45","1318","8834","4599.199999999255","1082.5","333.0999999977648","37","3788.199999999255","1","87",""
"242","http://localhost:8080/","2024-12-11","15:37:54","1309","8829","4583.39999999851","1066.699999999255","333.19999999925494","39","3783.300000000745","1","89",""
"243","http://localhost:8080/","2024-12-11","15:38:04","1305","8850","4614.5","1081.199999999255","343.19999999925494","38","3802.199999999255","1","88",""
"244","http://localhost:8080/","2024-12-11","15:38:13","1324","8797","4579.900000002235","1079.9000000022352","340.4000000022352","40","3772.699999999255","1","90",""
"245","http://localhost:8080/","2024-12-11","15:38:23","1319","8811","4604.199999999255","1087.6000000014901","342","39","3787.10000000149","1","89",""
"246","http://localhost:8080/","2024-12-11","15:38:32","1348","8838","4618.199999999255","1101.5","340.19999999925494","38","3813.900000002235","1","88",""
"247","http://localhost:8080/","2024-12-11","15:38:42","1318","8845","4586","1086","342.80000000074506","38","3799.199999999255","1","88",""
"248","http://localhost:8080/","2024-12-11","15:38:51","1369","8866","4649.29999999702","1132.5999999977648","343.8999999985099","39","3840.7999999970198","1","89",""
"249","http://localhost:8080/","2024-12-11","15:39:01","1323","8854","4593","1093","340","40","3806.5","1","90",""
"250","http://localhost:8080/","2024-12-11","15:39:10","1331","8823","4597.10000000149","1097.1000000014901","339.6000000014901","40","3799.39999999851","1","90",""
"251","http://localhost:8080/","2024-12-11","15:39:20","1332","8851","4592.800000000745","1092.800000000745","333","38","3804.7000000029802","1","88",""
"252","http://localhost:8080/","2024-12-11","15:39:29","1325","8836","4587.60000000149","1087.5","340.19999999925494","38","3789.800000000745","1","88",""
"253","http://localhost:8080/","2024-12-11","15:39:39","1341","8862","4602.800000000745","1102.8999999985099","336.0999999977648","38","3815.89999999851","1","88",""
"254","http://localhost:8080/","2024-12-11","15:39:48","1324","8825","4579.39999999851","1096","339.5","41","3798.60000000149","1","91",""
"255","http://localhost:8080/","2024-12-11","15:39:58","1315","8817","4583.300000000745","1083.300000000745","333.19999999925494","39","3793.10000000149","1","89",""
"256","http://localhost:8080/","2024-12-11","15:40:07","1331","8823","4597.199999999255","1097.199999999255","347.5","42","3798.300000000745","1","92",""
"257","http://localhost:8080/","2024-12-11","15:40:17","1320","8820","4585.199999999255","1085.199999999255","335.4000000022352","40","3796.10000000149","1","90",""
"258","http://localhost:8080/","2024-12-11","15:40:26","1331","8825","4618.199999999255","1084.8999999985099","340.0999999977648","40","3801","1","90",""
"259","http://localhost:8080/","2024-12-11","15:40:36","1324","8846","4576.10000000149","1092.800000000745","335.1000000014901","37","3798.89999999851","1","87",""
"260","http://localhost:8080/","2024-12-11","15:40:46","1319","8832","4583.599999997765","1083.5","332.79999999701977","39","3787.39999999851","1","89",""
"261","http://localhost:8080/","2024-12-11","15:40:55","1323","8812","4586.5","1086.5","339.9000000022352","39","3785.699999999255","1","89",""
"262","http://localhost:8080/","2024-12-11","15:41:05","1366","8854","4612.5","1129.199999999255","340.69999999925494","38","3828.60000000149","1","88",""
"263","http://localhost:8080/","2024-12-11","15:41:14","1359","8850","4613.800000000745","1130.3999999985099","332.5","40","3827","1","90",""
"264","http://localhost:8080/","2024-12-11","15:41:24","1344","8831","4595.699999999255","1112.4000000022352","339.69999999925494","39","3807.400000002235","1","89",""
"265","http://localhost:8080/","2024-12-11","15:41:33","1309","8852","4609.70000000298","1076.300000000745","333.6000000014901","38","3807","1","88",""
"266","http://localhost:8080/","2024-12-11","15:41:43","1315","8846","4607.699999999255","1090.9000000022352","332.6000000014901","38","3802.699999999255","1","88",""
"267","http://localhost:8080/","2024-12-11","15:41:52","1313","8803","4576.199999999255","1076.199999999255","334.8999999985099","39","3777.5","1","89",""
"268","http://localhost:8080/","2024-12-11","15:42:02","1352","8845","4623.400000002235","1106.699999999255","332.80000000074506","40","3819.900000002235","1","90",""
"269","http://localhost:8080/","2024-12-11","15:42:11","1325","8809","4580.699999999255","1080.699999999255","342.8999999985099","41","3784.699999999255","1","91",""
"270","http://localhost:8080/","2024-12-11","15:42:21","1330","8841","4613.800000000745","1097.199999999255","339.69999999925494","40","3816","1","90",""
"271","http://localhost:8080/","2024-12-11","15:42:30","1360","8863","4631.300000000745","1114.6000000014901","339.1000000014901","38","3816.5","1","88",""
"272","http://localhost:8080/","2024-12-11","15:42:40","1317","8834","4597","1080.300000000745","339.80000000074506","38","3786.5","1","88",""
"273","http://localhost:8080/","2024-12-11","15:42:49","1331","8824","4598.800000000745","1098.800000000745","332.69999999925494","39","3798.699999999255","1","89",""
"274","http://localhost:8080/","2024-12-11","15:42:59","1324","8802","4572.79999999702","1089.3999999985099","339.5","37","3778.5","1","87",""
"275","http://localhost:8080/","2024-12-11","15:43:08","1330","8817","4592.199999999255","1092.300000000745","339.5","41","3793.199999999255","1","91",""
"276","http://localhost:8080/","2024-12-11","15:43:18","1316","8801","4579.20000000298","1079.2000000029802","340","38","3777.900000002235","1","88",""
"277","http://localhost:8080/","2024-12-11","15:43:27","1324","8804","4569.599999997765","1086.199999999255","340.0999999977648","40","3779.2999999970198","1","90",""
"278","http://localhost:8080/","2024-12-11","15:43:37","1312","8797","4563.5","1080.199999999255","342.29999999701977","38","3771.599999997765","1","88",""
"279","http://localhost:8080/","2024-12-11","15:43:46","1326","8852","4598.900000002235","1098.9000000022352","342.4000000022352","37","3805.400000002235","1","87",""
"280","http://localhost:8080/","2024-12-11","15:43:56","1317","8794","4588","1088.1000000014901","340.19999999925494","39","3771.5","1","89",""
"281","http://localhost:8080/","2024-12-11","15:44:05","1330","8869","4614.800000000745","1098.1000000014901","334.4000000022352","45","3821.800000000745","1","95",""
"282","http://localhost:8080/","2024-12-11","15:44:15","1308","8799","4562.699999999255","1062.699999999255","339.69999999925494","39","3777","1","89",""
"283","http://localhost:8080/","2024-12-11","15:44:24","1315","8841","4590.800000000745","1074.0999999977648","340","38","3794.89999999851","1","88",""
"284","http://localhost:8080/","2024-12-11","15:44:34","1326","8853","4616.10000000149","1099.4000000022352","342","42","3804.2000000029802","1","92",""
"285","http://localhost:8080/","2024-12-11","15:44:43","1345","8844","4631.5","1098.199999999255","339.80000000074506","44","3818.699999999255","1","94",""
"286","http://localhost:8080/","2024-12-11","15:44:53","1352","8888","4631.10000000149","1114.5","346.3999999985099","38","3840.60000000149","1","88",""
"287","http://localhost:8080/","2024-12-11","15:45:02","1322","8835","4591.5","1074.800000000745","339.6000000014901","38","3788.7000000029802","1","88",""
"288","http://localhost:8080/","2024-12-11","15:45:12","1319","8808","4584.5","1084.6000000014901","333.30000000074506","40","3784","1","90",""
"289","http://localhost:8080/","2024-12-11","15:45:21","1331","8810","4602.5","1085.699999999255","339.80000000074506","40","3786.89999999851","1","90",""
"290","http://localhost:8080/","2024-12-11","15:45:31","1320","8852","4600.10000000149","1083.4000000022352","342.30000000074506","38","3805","1","88",""
"291","http://localhost:8080/","2024-12-11","15:45:40","1354","8873","4617.10000000149","1117.199999999255","334.5","40","3827.89999999851","1","90",""
"292","http://localhost:8080/","2024-12-11","15:45:50","1317","8841","4580.5","1080.5","340","38","3795.199999999255","1","88",""
"293","http://localhost:8080/","2024-12-11","15:45:59","1311","8804","4580.099999997765","1080.0999999977648","340.8999999985099","39","3779.5","1","89",""
"294","http://localhost:8080/","2024-12-11","15:46:09","1336","8822","4589.20000000298","1105.800000000745","332.80000000074506","38","3798.900000002235","1","88",""
"295","http://localhost:8080/","2024-12-11","15:46:18","1325","8801","4571.20000000298","1087.9000000022352","339.5","42","3775.5","1","92",""
"296","http://localhost:8080/","2024-12-11","15:46:28","1358","8851","4610","1126.699999999255","339.69999999925494","39","3827","1","89",""
"297","http://localhost:8080/","2024-12-11","15:46:37","1333","8859","4597.400000002235","1097.5","342.9000000022352","38","3812.800000000745","1","88",""
"298","http://localhost:8080/","2024-12-11","15:46:47","1316","8842","4603.800000000745","1087.1000000014901","340.4000000022352","38","3796.900000002235","1","88",""
"299","http://localhost:8080/","2024-12-11","15:46:57","1305","8808","4563","1062.9000000022352","342.5","39","3783.400000002235","1","89",""
"300","http://localhost:8080/","2024-12-11","15:47:06","1330","8849","4596.10000000149","1096.1000000014901","339.6000000014901","39","3804.2000000029802","1","89",""
"301","http://localhost:8080/","2024-12-11","15:47:16","1340","8822","4594.39999999851","1094.3999999985099","341.8999999985099","40","3797","1","90",""
"302","http://localhost:8080/","2024-12-11","15:47:25","1333","8819","4583","1099.5999999977648","342.3999999985099","37","3794.699999999255","1","87",""
"303","http://localhost:8080/","2024-12-11","15:47:35","1323","8818","4591.800000000745","1091.8999999985099","340","40","3794.5","1","90",""
"304","http://localhost:8080/","2024-12-11","15:47:44","1332","8832","4600.400000002235","1100.4000000022352","342","38","3807.800000000745","1","88",""
"305","http://localhost:8080/","2024-12-11","15:47:54","1339","8836","4606.300000000745","1106.300000000745","332.80000000074506","40","3809.699999999255","1","90",""
"306","http://localhost:8080/","2024-12-11","15:48:03","1352","8845","4624.60000000149","1108","332.69999999925494","38","3821","1","88",""
"307","http://localhost:8080/","2024-12-11","15:48:13","1309","8790","4547.099999997765","1063.699999999255","332.5","40","3765.699999999255","1","90",""
"308","http://localhost:8080/","2024-12-11","15:48:22","1377","8902","4657.599999997765","1140.8999999985099","342.19999999925494","38","3856.599999997765","1","88",""
"309","http://localhost:8080/","2024-12-11","15:48:32","1318","8819","4597.800000000745","1081.0999999977648","333.8999999985099","39","3794.099999997765","1","89",""
"310","http://localhost:8080/","2024-12-11","15:48:41","1320","8811","4603.39999999851","1086.699999999255","341.5999999977648","39","3787.300000000745","1","89",""
"311","http://localhost:8080/","2024-12-11","15:48:51","1326","8819","4576.699999999255","1093.300000000745","341.8999999985099","40","3795.39999999851","1","90",""
"312","http://localhost:8080/","2024-12-11","15:49:00","1318","8803","4563.699999999255","1080.300000000745","341.69999999925494","38","3778.60000000149","1","88",""
"313","http://localhost:8080/","2024-12-11","15:49:10","1325","8805","4564.699999999255","1081.5","341.30000000074506","41","3781.099999997765","1","91",""
"314","http://localhost:8080/","2024-12-11","15:49:19","1320","8846","4577.5","1077.5","343.1000000014901","38","3799.7000000029802","1","88",""
"315","http://localhost:8080/","2024-12-11","15:49:29","1316","8805","4580.400000002235","1080.4000000022352","341.5","40","3780.60000000149","1","90",""
"316","http://localhost:8080/","2024-12-11","15:49:38","1366","8884","4629.5","1129.5","339.69999999925494","37","3837.10000000149","1","87",""
"317","http://localhost:8080/","2024-12-11","15:49:48","1348","8839","4600.89999999851","1100.7999999970198","334.79999999701977","40","3815.39999999851","1","90",""
"318","http://localhost:8080/","2024-12-11","15:49:57","1309","8845","4583","1066.3999999985099","332.8999999985099","39","3798.199999999255","1","89",""
"319","http://localhost:8080/","2024-12-11","15:50:07","1320","8823","4617.89999999851","1084.5","340.19999999925494","38","3798.599999997765","1","88",""
"320","http://localhost:8080/","2024-12-11","15:50:16","1317","8839","4593.800000000745","1077.2000000029802","342.5","37","3792.5","1","87",""
"321","http://localhost:8080/","2024-12-11","15:50:26","1337","8845","4645.900000002235","1095.9000000022352","339.5","39","3820.400000002235","1","89",""
"322","http://localhost:8080/","2024-12-11","15:50:35","1330","8817","4585.199999999255","1085.1000000014901","339.80000000074506","41","3793.60000000149","1","91",""
"323","http://localhost:8080/","2024-12-11","15:50:45","1346","8839","4601.699999999255","1118.3999999985099","340","40","3815.199999999255","1","90",""
